tri_id,status_code,status_label,has_meniscus_geom,has_bottom_geom,Pin_W,Ponplane_W,att
224,0,ok,1,1,0.000670029,0.000459282,0.685465
225,0,ok,1,1,0.000446686,0.000306235,0.685571
226,0,ok,1,1,0.000670013,0.000458236,0.683921
227,0,ok,1,1,0.000446676,0.000305587,0.684137
228,0,ok,1,1,0.000669995,0.000457011,0.682111
229,0,ok,1,1,0.000446663,0.000304837,0.682476
230,0,ok,1,1,0.000669974,0.000455623,0.680061
231,0,ok,1,1,0.000446649,0.000303995,0.680612
232,0,ok,1,1,0.000669951,0.000454093,0.6778
233,0,ok,1,1,0.000446634,0.000303073,0.678572
234,0,ok,1,1,0.000669926,0.000452442,0.675362
235,0,ok,1,1,0.000446617,0.000302085,0.676386
236,0,ok,1,1,0.000669899,0.000450695,0.67278
237,0,ok,1,1,0.0004466,0.000301045,0.674083
238,0,ok,1,1,0.000669872,0.000448876,0.670092
239,0,ok,1,1,0.000446581,0.000299967,0.671697
240,0,ok,1,1,0.000669843,0.00044701,0.667335
241,0,ok,1,1,0.000446562,0.000298866,0.66926
242,0,ok,1,1,0.000669814,0.000445123,0.664546
243,0,ok,1,1,0.000446543,0.000297757,0.666805
244,0,ok,1,1,0.000669786,0.00044324,0.661765
245,0,ok,1,1,0.000446524,0.000296655,0.664366
246,0,ok,1,1,0.000669757,0.000441388,0.659027
247,0,ok,1,1,0.000446505,0.000295575,0.661976
248,0,ok,1,1,0.000669729,0.00043959,0.65637
249,0,ok,1,1,0.000446486,0.000294532,0.659666
250,0,ok,1,1,0.000669703,0.000437871,0.653828
251,0,ok,1,1,0.000446468,0.000293538,0.657467
252,0,ok,1,1,0.000669678,0.000436251,0.651435
253,0,ok,1,1,0.000446452,0.000292607,0.655407
254,0,ok,1,1,0.000669654,0.000434753,0.64922
255,0,ok,1,1,0.000446436,0.000291752,0.653512
256,0,ok,1,1,0.000669633,0.000433395,0.647213
257,0,ok,1,1,0.000446422,0.000290981,0.651807
258,0,ok,1,1,0.000669615,0.000432195,0.645438
259,0,ok,1,1,0.00044641,0.000290307,0.650314
260,0,ok,1,1,0.000669599,0.000431166,0.643917
261,0,ok,1,1,0.000446399,0.000289736,0.649051
262,0,ok,1,1,0.000669586,0.000430322,0.642669
263,0,ok,1,1,0.000446391,0.000289276,0.648033
264,0,ok,1,1,0.000669576,0.000429673,0.64171
265,0,ok,1,1,0.000446384,0.000288933,0.647274
266,0,ok,1,1,0.000669569,0.000429227,0.64105
267,0,ok,1,1,0.000446379,0.000288711,0.646783
268,0,ok,1,1,0.000669566,0.00042899,0.640699
269,0,ok,1,1,0.000446377,0.000288612,0.646565
270,0,ok,1,1,0.000892454,0.000554026,0.620789
271,0,ok,1,1,0.000669341,0.000420192,0.62777
272,0,ok,1,1,0.000892461,0.000554351,0.621149
273,0,ok,1,1,0.000669345,0.000420502,0.628229
274,0,ok,1,1,0.000892473,0.000555049,0.621923
275,0,ok,1,1,0.000669355,0.000421068,0.629066
276,0,ok,1,1,0.000892492,0.000556111,0.6231
277,0,ok,1,1,0.000669369,0.000421883,0.63027
278,0,ok,1,1,0.000892516,0.000557526,0.624667
279,0,ok,1,1,0.000669387,0.000422937,0.631827
280,0,ok,1,1,0.000892546,0.000559275,0.626607
281,0,ok,1,1,0.000669409,0.000424218,0.633719
282,0,ok,1,1,0.000892581,0.000561339,0.628895
283,0,ok,1,1,0.000669436,0.00042571,0.635923
284,0,ok,1,1,0.00089262,0.000563693,0.631504
285,0,ok,1,1,0.000669465,0.000427395,0.638412
286,0,ok,1,1,0.000892664,0.000566309,0.634403
287,0,ok,1,1,0.000669498,0.000429252,0.641155
288,0,ok,1,1,0.00089271,0.000569153,0.637557
289,0,ok,1,1,0.000669533,0.000431259,0.644119
290,0,ok,1,1,0.00089276,0.000572192,0.640924
291,0,ok,1,1,0.00066957,0.000433389,0.647265
292,0,ok,1,1,0.000892812,0.000575385,0.644464
293,0,ok,1,1,0.000669609,0.000435616,0.650553
294,0,ok,1,1,0.000892865,0.000578693,0.64813
295,0,ok,1,1,0.000669649,0.000437911,0.653941
296,0,ok,1,1,0.000892919,0.000582071,0.651874
297,0,ok,1,1,0.000669689,0.000440243,0.657383
298,0,ok,1,1,0.000892973,0.000585475,0.655647
299,0,ok,1,1,0.00066973,0.00044258,0.660834
300,0,ok,1,1,0.000893026,0.000588858,0.659396
301,0,ok,1,1,0.00066977,0.000444892,0.664246
302,0,ok,1,1,0.000893078,0.000592174,0.66307
303,0,ok,1,1,0.000669809,0.000447146,0.667572
304,0,ok,1,1,0.000893128,0.000595375,0.666618
305,0,ok,1,1,0.000669846,0.00044931,0.670766
306,0,ok,1,1,0.000893174,0.000598418,0.66999
307,0,ok,1,1,0.000669881,0.000451353,0.673781
308,0,ok,1,1,0.000893218,0.000601256,0.673135
309,0,ok,1,1,0.000669913,0.000453246,0.676574
310,0,ok,1,1,0.000893257,0.00060385,0.676009
311,0,ok,1,1,0.000669943,0.000454962,0.679105
312,0,ok,1,1,0.000893291,0.00060616,0.678569
313,0,ok,1,1,0.000669968,0.000456474,0.681337
314,0,ok,1,1,0.000893321,0.000608151,0.680776
315,0,ok,1,1,0.000669991,0.000457761,0.683235
316,0,ok,1,1,0.000893345,0.000609794,0.682596
317,0,ok,1,1,0.000670009,0.000458803,0.684771
318,0,ok,1,1,0.000893363,0.000611064,0.684003
319,0,ok,1,1,0.000670023,0.000459584,0.685922
